"show_id","type","title","director","casts","country","date_added","release_year","rating","duration","listed_in","description"
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,"",United States,"25-Sep-21",2020,PG-13,"90 min",Documentaries,"As her father nears the end of his life, filmmaker Kirsten Johnson stages his death in inventive and comical ways to help them both face the inevitable."
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams","","","22-Sep-21",2020,TV-MA,"67 min","Documentaries, International Movies","Declassified documents reveal the post-WWII life of Otto Skorzeny, a close Hitler ally who escaped to Spain and became an adviser to world presidents."
s46,Movie,My Heroes Were Cowboys,Tyler Greco,"","","16-Sep-21",2021,PG,"23 min",Documentaries,"Robin Wiltshire's painful childhood was rescued by Westerns. Now he lives on the frontier of his dreams, training the horses he loves for the big screen."
s69,Movie,Schumacher,"Hanns-Bruno Kammertöns, Vanessa Nöcker, Michael Wech",Michael Schumacher,"","15-Sep-21",2021,TV-14,"113 min","Documentaries, International Movies, Sports Movies","Through exclusive interviews and archival footage, this documentary traces an intimate portrait of seven-time Formula 1 champion Michael Schumacher."
s89,Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,"Malcolm X, Muhammad Ali","","9-Sep-21",2021,PG-13,"96 min","Documentaries, Sports Movies","From a chance meeting to a tragic fallout, Malcolm X and Muhammad Ali's extraordinary bond cracks under the weight of distrust and shifting ideals."
s92,Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau","",France,"9-Sep-21",2021,TV-14,"92 min","Documentaries, International Movies",This documentary traces the capture of serial killer Guy Georges through the tireless work of two women: a police chief and a victim's mother.
s97,Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,"Ronnie Van Zandt, Gary Rossington, Allen Collins, Leon Wilkeson, Bob Burns, Billy Powell, Ed King, Artimus Pyle, Steve Gaines, Johnny Van Zant",United States,"7-Sep-21",2018,TV-MA,"97 min","Documentaries, Music & Musicals","Using interviews and archival footage, this documentary charts the story of the legendary Southern rockers with a focus on front man Ronnie Van Zant."
s102,Movie,Untold: Breaking Point,"Chapman Way, Maclain Way","",United States,"7-Sep-21",2021,TV-MA,"80 min","Documentaries, Sports Movies","Under pressure to continue a winning tradition in American tennis, Mardy Fish faced mental health challenges that changed his life on and off the court."
s118,Movie,Final Account,Luke Holland,"","United Kingdom, United States","2-Sep-21",2021,PG-13,"94 min",Documentaries,This documentary stitches together never-before-seen interviews with the last living generation of people who participated in Hitler's Third Reich.
s171,Movie,Rhyme & Reason,Peter Spirer,"Too $hort, B-Real, Kurtis Blow, Da Brat, Grandmaster Caz, Sean ""P. Diddy"" Combs, Chuck D., Desiree Densiti, Dr. Dre, E-40, MC Eiht, Heavy D, Lauryn Hill, Ice-T, Wyclef Jean, Ras Kass, KRS-One, L.V., Mack 10, Craig Mack, Method Man, Keith Murray, Nasir 'Nas' Jones, The Notorious B.I.G., Master P, Q-Tip, Raekwon, Redman, Senen Reyes, Busta Rhymes, RZA, DJ Scratch, Erick Sermon, Tupac Shakur, Adario Strange, Suave",United States,"1-Sep-21",1997,R,"89 min","Documentaries, Music & Musicals","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
