"show_id","type","title","director","casts","country","date_added","release_year","rating","duration","listed_in","description"
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Mieko Harada, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Noriko Hidaka, Kenichi Ogata, Toshiyuki Morikawa, Izumi Ogami",Japan,"15-Sep-21",2002,TV-14,"99 min","Action & Adventure, Anime Features, International Movies","With their biggest foe seemingly defeated, InuYasha and his friends return to everyday life. But the peace is soon shattered by an emerging new enemy."
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,"Kappei Yamaguchi, Satsuki Yukino, Koji Tsujitani, Houko Kuwashima, Kumiko Watanabe, Ken Narita, Akio Otsuka, Kikuko Inoue",Japan,"15-Sep-21",2003,TV-14,"99 min","Action & Adventure, Anime Features, International Movies",The Great Dog Demon beaqueathed one of the Three Swords of the Fang to each of his two sons. Now the evil power of the third sword has been awakened.
s120,Movie,Here and There,JP Habac,"Janine Gutierrez, JC Santos, Victor Anastacio, Yesh Burce, Lotlot De Leon","","2-Sep-21",2020,TV-MA,"99 min","Dramas, International Movies, Romantic Movies","After meeting through a heated exchange on social media, two people with different backgrounds begin an online romance in the midst of a pandemic."
s338,Movie,Good Luck Chuck,Mark Helfrich,"Dane Cook, Jessica Alba, Dan Fogler, Ellia English, Sasha Pieterse, Annie Wood, Lonny Ross, Chelan Simmons, Simone Bailly, Jodelle Ferland, Crystal Lowe, Troy Gentile, Georgia Craig, Michelle Harrison, Chiara Zanni","United States, Canada","1-Aug-21",2007,R,"99 min","Comedies, Romantic Movies","Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right."
s345,Movie,My Girl 2,Howard Zieff,"Anna Chlumsky, Austin O'Brien, Dan Aykroyd, Jamie Lee Curtis, Richard Masur, Christine Ebersole, Angeline Ball",United States,"1-Aug-21",1994,PG,"99 min","Children & Family Movies, Comedies, Dramas",A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met.
s427,Movie,Cousins,"Ainsley Gardiner, Briar Grace-Smith","Rachel House, Briar Grace-Smith, Tanea Heke, Tioreore Ngatai-Melbourne, Ana Scotney, Hariata Moriarty, Chelsie Preston Crayford, Sylvia Rands",New Zealand,"22-Jul-21",2021,TV-MA,"99 min",Dramas,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other."
s722,Movie,Rogue Warfare: Death of a Nation,Mike Gunther,"Will Yun Lee, Jermaine Love, Rory Markham, Bertrand-Xavier Corbi, Katie Keene, Fernando Chien, Gina DeCesare, Michael Blalock, Stephen Lang, Chris Mulkey",United States,"15-Jun-21",2020,R,"99 min",Action & Adventure,"As their leader recovers from trauma, a global team of elite soldiers must regroup and stop the deadly plans of an extremist mastermind within 36 hours."
s744,Movie,Copenhagen,Mark Raso,"Gethin Anthony, Frederikke Dahl Hansen, Sebastian Armesto, Olivia Grant, Baard Owe, Mille Dinesen, Martin Hestbæk, Tamzin Merchant","Canada, United States, Denmark","10-Jun-21",2014,TV-MA,"99 min","Dramas, Independent Movies, Romantic Movies","Philandering his way across Europe to find the grandfather he's never met, William unexpectedly befriends a 14-year-old who changes how he sees women."
s782,Movie,Black Holes | The Edge of All We Know,Peter Galison,"","","2-Jun-21",2021,TV-14,"99 min",Documentaries,Follow scientists on their quest to understand and capture the first image of a black hole while exploring the limits of our knowledge of the universe.
s803,Movie,Ninja Assassin,James McTeigue,"Rain, Naomie Harris, Ben Miles, Rick Yune, Shô Kosugi, Sung Kang, Richard van Weyden, Thorston Manderlay, Wladimir Tarasjanz, Eleonore Weisgerber","Germany, United States, France","2-Jun-21",2009,R,"99 min",Action & Adventure,A former assassin must protect himself and a Europol agent from a ruthless band of assassins who wish to exist in secrecy.
